Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Random Forest,0.757640369580668,0.5300546448087432,0.7780748663101604,0.6305525460455038,0.8360701140440335
Logistic Regression,0.7299218194740583,0.4949664429530201,0.7887700534759359,0.6082474226804123,0.8371248789932235
Decision Tree,0.7114427860696517,0.47468354430379744,0.8021390374331551,0.5964214711729622,0.8113523769095775
KNN,0.7917555081734187,0.6153846153846154,0.5775401069518716,0.5958620689655172,0.8189376252128943
